id,p_WDR,p_days_to_head
S1A_1158046,0.378392396738641,0.5035937841082132
S1A_1158055,0.046170396471858874,0.02902970296280983
S1A_1159476,0.3412525099676207,0.6853061151707442
S1A_1232999,0.1467179695515909,0.9565397326749732
S1A_1236236,0.0043136747631903356,0.2338968464916137
S1A_1238021,0.01157221414087952,0.18460845080441496
S1A_1338362,0.42741026996576714,0.8821469886270719
S1A_1588248,0.8706545552771258,0.24511742833932346
S1A_1647528,0.40739040870343735,0.3012892749713164
S1A_1673828,0.009280954540974242,0.24036338060666632
S1A_1686992,0.353329278283112,0.6628135687216616
S1A_1698908,0.04433126417800873,0.32144211298027825
S1A_1722425,0.03119832865437414,0.917869288541048
S1A_1838929,0.7711999508882766,0.9603890758135546
S1A_1838947,0.2809051411908758,0.6876321594913057
S1A_1846791,0.2837266614760612,0.9822777959478226
S1A_1846809,0.4705624592539255,0.7501514895444096
S1A_1846831,0.990137156773178,0.32725625975008943
S1A_1989314,0.6928146132721695,0.9195314383113409
S1A_2155191,0.3481068601561621,0.172238040328939
S1A_2390246,0.9981403185878502,0.13502149130268576
S1A_2926887,0.6946653267037501,0.7378891938771989
S1A_2988801,0.8560045354917643,0.46129110346150115
S1A_3381907,0.8533644917769763,0.7326848693567405
S1A_3381967,0.036761595018635344,0.12284331179149668
S1A_3452684,0.01726172355589583,0.10911804516464425
S1A_3452749,0.16292926892778933,0.4547259840505844
S1A_3516790,0.6370416969528272,0.9450056420670925
S1A_3613321,0.0430951308762941,0.03981847990397304
S1A_3613616,0.8797532581718294,0.8703041862410992
S1A_3618173,0.14499206528239836,0.5914248241101228
S1A_3657148,0.26447790985826874,0.08651078514159703
S1A_3681123,0.08097836587099683,0.17882161005886296
S1A_3702037,0.00358840875255066,0.061632058260951035
S1A_3795226,0.33019637475397523,0.408151260222131
S1A_3943497,0.8464632752334069,0.9881751512893304
S1A_4090235,0.4547942262751147,0.47555236652096655
S1A_4213050,0.550954591113763,0.5465469442560329
S1A_4227065,0.8464632752334069,0.9881751512893304
S1A_4363168,0.08916312046058722,0.3781621052706168
S1A_4700791,0.10424900190761566,0.81032561746778
S1A_4700809,0.053656144265425615,0.8799832584638083
S1A_5065601,0.03590501101433544,0.11525470832919595
S1A_5149784,0.8487130842117321,0.1265992055403776
S1A_5172611,0.008343685691870965,0.07909220332809778
S1A_5326457,0.03590501101433544,0.11525470832919595
S1A_5491807,0.5887559876259552,0.046733723065049436
S1A_5491846,0.3598109267724785,0.2645937917779384
S1A_5565985,0.030175281072381707,0.09724495940013361
S1A_6332991,0.030175281072381707,0.09724495940013361
S1A_6345753,0.668842230604408,0.5663526605132894
S1A_6370123,0.9306998062929968,0.605364955208326
S1A_6370149,0.07112528335075971,0.19601877538775905
S1A_6370156,0.18778071170314858,0.1321531043775227
S1A_6370170,0.5129977263267622,0.9040919157267637
S1A_6394543,0.9671524021579538,0.5698322227101305
S1A_6405139,0.5762078994427253,0.7303422478001689
S1A_6632531,0.1800541320846742,0.351141535702014
S1A_6669808,0.33233328443815746,0.14300176475231335
S1A_6721112,0.06780577466545476,0.01342494939353214
S1A_6765264,0.1574548845660294,0.509829736984222
S1A_6766358,0.0923372854160759,0.5893327028835484
S1A_6766373,0.13691592491274007,0.9531395315346711
S1A_6766388,0.08683029910791921,0.7668196262513388
S1A_6770617,0.3486188627964213,0.04961211509758337
S1A_6770618,0.46583247188618604,0.13087920238610137
S1A_6776219,0.4482028304851663,0.511947465918986
S1A_6812534,0.8465620680990773,0.7961767899250852
S1A_6870929,0.37874459793278414,0.2597821123751419
S1A_7191475,0.027574728715194428,0.2607569365399826
S1A_7214017,0.6519701744497157,0.9557909342899393
S1A_7214024,0.10953979907311209,0.06620563026576536
S1A_7233300,0.27128157289154364,0.2290839766297424
S1A_7233302,0.28278674069924503,0.4665602492929457
S1A_7274964,0.2520888814751139,0.8559747026856349
S1A_7277935,0.9440210204553036,0.6997639926605721
