id,p_WDR,p_SNB,p_days_to_head
S1A_1158046,0.4089325801353796,0.48759867607666363,0.6451456876828341
S1A_1158055,0.028909414421826284,0.5267442185346534,0.10342479091915407
S1A_1159476,0.30611010820820533,0.5464683113320012,0.5235572269005389
S1A_1232999,0.9742577975680229,0.8174767474563616,0.28209603804412126
S1A_1236236,0.6958526070116877,0.48759867607666363,0.05860303423006157
S1A_1238021,0.2161933056045696,0.8050347994520024,0.7590671756877594
S1A_1338362,0.266664672487267,0.6247382000909404,0.45667792212294345
S1A_1588248,0.6336030416072573,0.2531507911325739,0.9289324714968872
S1A_1647528,0.8448961028350176,0.4447115228980545,0.4876441445273567
S1A_1673828,0.02869353599901598,0.4294283510023804,0.8232767206422584
S1A_1686992,0.16704212388644768,NA,0.3409626063701122
S1A_1698908,0.1314955420143557,0.3541757508655312,0.6433164682556642
S1A_1722425,0.2694250914469658,0.8050347994520024,0.9354962212036977
S1A_1838929,0.40653005673643694,0.04737625121888827,0.9574734920458918
S1A_1838947,0.8594007393706646,0.19406812816344376,0.5646835512738675
S1A_1846791,0.49685417171030244,0.7574328698114117,0.28131395291112127
S1A_1846809,0.5100530022652499,0.16149482770211185,0.7663607747903027
S1A_1846831,0.8794147457630155,0.2531507911325739,0.9596536571517083
S1A_1989314,0.6599027895835026,NA,0.6504182467374209
S1A_2155191,0.5502395859770618,0.2531507911325739,0.538099822805726
S1A_2390246,0.1697043827560807,0.02261414229924695,0.7589073238460536
S1A_2926887,0.9846629723186022,0.2898223702045679,0.553931124049918
S1A_2988801,0.6867738664673375,0.27660417079923627,0.9969674866055587
S1A_3381907,0.16289379666736026,0.8050347994520024,0.6391197997828529
S1A_3381967,0.041823582536337806,0.6312300338636562,0.03537616618814273
S1A_3452684,0.10518763075332395,0.5308430048070989,0.2135346531322552
S1A_3452749,0.22726240743678716,NA,0.4139257556281495
S1A_3516790,0.09916346316581856,0.788204084757076,0.8574533520533698
S1A_3613321,0.2936983220083728,0.6015708187553226,0.3789266266402467
S1A_3613616,0.5418484857021292,0.788204084757076,0.14065366461618245
S1A_3618173,0.6569060428324003,0.788204084757076,0.3460300155313121
S1A_3657148,0.9906029968963918,NA,0.12727863703423467
S1A_3681123,0.1263623224856362,0.9932891345873864,0.5078273335502507
S1A_3702037,0.13974840457026733,0.9932891345873864,0.5302933060436968
S1A_3795226,0.8100783623133538,0.092284551317365765,0.5426541143088431
S1A_3943497,0.6097921174533073,NA,0.7720097066268564
S1A_4090235,0.9693761014276534,NA,0.914999859584939
S1A_4213050,0.3873140806315679,0.14886559511508182,0.1773303445067514
S1A_4227065,0.6097921174533073,NA,0.7720097066268564
S1A_4363168,0.3409208216180236,0.4630767498081301,0.38551601837427774
S1A_4700791,0.34014590986945537,0.48759867607666363,0.11068529321609813
S1A_4700809,0.5073023881345367,0.48759867607666363,0.11006515337612834
S1A_5065601,0.2603728005590418,0.4630767498081301,0.41330113654509393
S1A_5149784,0.005560400656300031,0.8148130082882555,0.5336150596050063
S1A_5172611,0.8820253593412024,0.8050347994520024,0.07110848989580702
S1A_5326457,0.2603728005590418,0.4630767498081301,0.41330113654509393
S1A_5491807,0.8812102081170073,0.7635997600695938,0.16416504596758016
S1A_5491846,0.6361086344633732,0.9040568490983314,0.5812350982201175
S1A_5565985,0.15346710079525364,0.8404843099793373,0.11825637504207194
S1A_6332991,0.15346710079525364,0.8404843099793373,0.11825637504207194
S1A_6345753,0.17579752162277207,0.18242167528712874,0.5903722244862863
S1A_6370123,0.7511423099701062,0.09644582175058337,0.4658258880860894
S1A_6370149,0.37748301716792376,0.4630767498081301,0.5273019270093506
S1A_6370156,0.7050492562269934,0.3013931262190743,0.22727694786151853
S1A_6370170,0.1464112570308151,0.046315471559630686,0.755128633906606
S1A_6394543,0.09294205558118898,0.8050347994520024,0.3923422944437108
S1A_6405139,0.18330746259974964,0.9711570175559838,0.5549063184714466
S1A_6632531,0.07426533632651813,0.9792703358048858,0.9155898316500258
S1A_6669808,0.7283211151069203,0.18242167528712874,0.5898376411761366
S1A_6721112,0.025907208340623437,0.20672261604612704,0.011195159583019126
S1A_6765264,0.9382179135125905,0.8050347994520024,0.17895978177452251
S1A_6766358,0.7198875894631569,0.9249513808398785,0.3246797221236769
S1A_6766373,0.7614782069889207,0.9842658130362472,0.9074852961278166
S1A_6766388,0.46732556901477895,0.6560544563941064,0.2488290693858047
S1A_6770617,0.7623457515355467,0.26810639026915595,0.1746523357025356
S1A_6770618,0.75596831295518,0.16685063214201043,0.16118379830209928
S1A_6776219,0.547210117890071,0.18468008799437685,0.9138726216279847
S1A_6812534,0.2242003813616171,0.2231006133857629,0.4935209958796253
S1A_6870929,0.9551357495905558,0.24728711140423912,0.9623741239671636
S1A_7191475,0.5334770703155779,0.866743632600409,0.28305630893282574
S1A_7214017,0.4694263102607634,NA,0.48102480810401493
S1A_7214024,0.720283868042046,0.47099263482959264,0.3287490935204176
S1A_7233300,0.9689345406918268,0.7858715328143213,0.9856869243482356
S1A_7233302,0.29810685902576656,0.9817915040511027,0.8215295399458394
S1A_7274964,0.49660428147016755,NA,0.9346450625881303
S1A_7277935,0.14522342456510473,0.20757503014228956,0.729802612723929
S1A_7281143,0.2900182549599477,0.5251845764684124,0.37931431384365444
S1A_7658855,0.7953632995329363,0.8050347994520024,0.4800805445985077
S1A_8108580,0.49361694580750337,0.4518539007690707,0.4442798700567825
S1A_8137938,0.49826800994752796,0.8330395173466016,0.2584131511816095
