id,p_days_to_head,p_Height,p_Awns
S1A_804651,0.23231746911795026,0.4896924667314001,0.6892444330154401
S1A_1158055,1.366779120830585e-6,0.029662271024334313,0.5162997286139066
S1A_3452684,6.689894469029876e-7,0.0030253412070348406,0.20005460593209606
S1A_4213050,0.8554540872874965,0.020200499432348973,0.6353138404963523
S1A_4213105,0.9044382240717491,0.6096052064439436,0.8988211046213036
S1A_5326533,3.2144129363709915e-6,0.0034954785752545695,0.46744467291611347
S1A_6370123,0.022138341294712052,0.574250970349762,0.5667250423734586
S1A_6370149,2.479470716106316e-6,0.0031501705744411733,0.5868600483155185
S1A_6370156,6.215276493790923e-6,0.17931529537156976,0.5371275583623114
S1A_6370170,0.3643338253491216,0.5621176078269043,0.7384074115548003
S1A_6409907,0.002167911916073857,0.04408049954064364,0.6527262626575503
S1A_7281143,2.3563506824298676e-6,0.0026058799429748217,0.477418017007589
S1A_8108580,3.1144912214958537e-6,0.002248798131875006,0.477418017007589
S1A_8516050,0.9147349725939331,0.9031764196155458,0.15765465980261587
S1A_8633470,0.6843566799082259,0.3325054576706775,0.10143016954150104
S1A_8633498,6.092733312764467e-5,0.004485398000048904,0.4531370773728133
S1A_9236441,0.096700297253728,0.7836075476210913,0.1765986774261635
S1A_9236464,0.1981141600923628,0.8074175148186398,0.5136126990298409
S1A_9236507,7.944058907072681e-7,0.13859834863764084,0.3933911940671909
S1A_9236552,0.7210482611331911,0.9452088254266819,0.46386327073328826
S1A_9582910,0.10235664494114818,0.7615124743230076,0.33823130512441657
S1A_9940119,0.03639382178705769,0.7320353729942148,0.3539196519302298
S1A_10135807,1.515750108157928e-5,0.5081489839558934,0.46045719894589454
S1A_10159602,0.5578867794545364,0.8583518086702,0.22347570330087993
S1A_11208352,1.3525395564212709e-6,0.007634938082337245,0.37599883309643234
S1A_11208354,0.0012553449304048647,0.4477926339213256,0.8442756055921443
S1A_11718023,0.571590922418311,0.8277897961125826,0.3809849580559196
S1A_12142757,0.09332241353209408,0.6542013728219825,0.33871574001208693
S1A_14233808,0.8587351483102983,0.1836399543282762,0.14699806900561777
S1A_14520423,0.709549264356476,0.6462515492856182,0.7231015974791692
S1A_14520449,0.7237737784409191,0.7513197208328048,0.8443233288198347
S1A_14577882,0.08681656977511962,0.6961153351212817,0.9763290804607001
S1A_15375184,0.2421208759563541,0.31541790859273605,0.43625740160354376
S1A_15955019,0.5467273095337459,0.8055802073926616,0.6447275934971624
S1A_15955072,0.20721964060326972,0.6806296479488458,0.25252010007927267
S1A_16388833,0.24222931797095412,0.5021570970222647,0.6451491691815516
S1A_20028685,0.8297174813354544,0.8854507891440772,0.5533483133170334
S1A_20158773,0.5550781501389013,0.38245585534142257,0.1481857415434707
S1A_20889093,0.8421730760053856,0.7682460856227258,0.7550254288218283
S1A_21143362,0.08460392508883767,0.08740271786388623,0.04232975958254416
S1A_21416535,0.08460392508883767,0.08740271786388623,0.04232975958254416
S1A_21674684,0.18741229452380523,0.0067694955681133215,0.038023488889498705
S1A_22331274,0.35065599469731934,0.029409309838834455,0.02888514762543289
S1A_22535000,0.8207981475070703,0.49491463689124116,0.10980825719702353
S1A_22588741,0.8552366738335819,0.38557666991729966,0.34709258490822126
S1A_24428063,0.7692983527106746,0.20579254095986224,0.11296906680679428
S1A_24428104,0.4274681743104801,0.6387909987658662,0.015579842597322315
S1A_24561914,0.6341167062718136,0.2548927466065557,0.4292066613826979
S1A_24826522,0.5745109956047287,0.029397247244304543,0.1120818497505123
S1A_25289557,0.8856731376900853,0.5439133989234244,0.3374446291666561
S1A_25545534,0.7733289355321394,0.7112067873713757,0.4672880501506206
S1A_25725731,0.6914132832592967,0.02250157059219725,0.10599582481750558
S1A_26598441,0.7757141923548223,0.044614935960937255,0.05250517895393096
S1A_26961879,0.8186533792077145,0.4977649534783395,0.11021601292863513
S1A_27209346,0.6990564755989611,0.027188408900800813,0.2956153124216961
S1A_28610421,0.9348718428665757,0.31733321056335567,0.12885673188687422
S1A_29796503,0.9839294831975602,0.3299012410262453,0.053924298200798006
S1A_30118988,0.49595190857861204,0.2549874021894532,0.6268958613617249
S1A_33618583,0.8250093441786231,0.0996877508604293,0.024343893392002113
S1A_33893501,0.8142093310775833,0.40633654672347685,0.2851672082689511
S1A_34878333,0.5495600691877509,0.1202731012337298,0.01631764220138392
S1A_36562581,0.5054724577537673,0.10025263442629305,0.01631764221716183
S1A_36605423,0.48926371126731216,0.2828063706358141,0.387987013398428
S1A_36824553,0.5024766863714246,0.41878785951944864,0.12138982055335013
S1A_38715697,0.07421161918738499,0.04426507222299503,0.5557497405378881
S1A_39183475,0.738006527763589,0.6507825174730072,0.923378903674718
S1A_39183500,0.6273391643502257,0.4965634961235734,0.27326446561571616
S1A_39269046,0.01763080281781064,0.9864144258332739,0.016796896951107882
S1A_39409264,0.8462941041710869,0.5821452407952202,0.5231443292485618
S1A_39409291,0.6122796905734762,0.44870161453410784,0.5982454988173171
S1A_39409365,0.5748291817341977,0.014302546092011606,0.015585615198560162
S1A_41393391,0.420444886951468,0.08925953134558888,0.2131947433382064
S1A_41743658,0.7680634271034837,0.5309651310152321,0.8994681009399245
S1A_41901220,0.3054104405548439,0.19579505498725056,0.13096860897571058
S1A_41922824,4.0251634822152763e-4,0.5302774720128371,0.26600018530932446
S1A_45592345,0.2319860254033846,0.07308454899842207,0.0269606026192254
S1A_47824957,0.7981471030464073,0.26262386091842754,0.2605852807467755
S1A_49271577,0.2336314601418057,0.15152284556602716,0.04850572322432433
S1A_49361479,0.7168313209665236,0.8353496440771593,0.2566747437645885
S1A_52440302,0.08460392508883767,0.08740271786388623,0.04232975958254416
S1A_52440317,0.33905181575677257,0.11417239830163226,0.9171556776219894
S1A_54077585,0.08460392508883767,0.08740271786388623,0.04232975958254416
S1A_54856729,0.004288327373188714,0.07801772597678396,0.028907370892730832
S1A_57204953,0.08460392508883767,0.08740271786388623,0.04232975958254416
S1A_57399833,0.9195984194775236,0.6226200628321445,0.6233250750224887
S1A_58020065,0.08460392508883767,0.08740271786388623,0.04232975958254416
S1A_58370156,0.8576923351372158,0.48436716753135334,0.7641190278330507
S1A_58713697,0.8365966585446734,0.47477802502443445,0.13929035914650678
S1A_58840457,0.6570866777006761,0.4752658842992289,0.5468088701245863
S1A_59111458,0.9060381124234721,0.49736200795496055,0.258878243484884
S1A_62010091,0.6269301958471214,0.8535453986218043,0.07520616227304505
S1A_64835777,0.7190909025815656,0.09030844353223952,0.007914764675870796
S1A_67467673,0.9425927876735078,0.3542864776002095,0.057311614786142814
S1A_71445206,0.9256549820526955,0.35412564401610913,0.7226546823654352
S1A_73321370,0.9522799691027605,0.48402149261605865,0.14492888666732767
S1A_74441286,0.895329259132837,0.47191220983656657,0.20526926319604466
S1A_76031032,0.004288327370281111,0.07802208206074118,0.028907370677961782
S1A_82132072,0.40824555968951715,0.8951543254762881,0.6456400695443049
S1A_85903707,0.7601809458789064,0.3866704900430534,0.4148479245938732
S1A_90108210,0.9326040263809914,0.2616946079772838,0.6632166971013782
S1A_91175575,0.9693322620734247,0.6918922677324109,0.2363782273484213
S1A_91413161,0.08460392508883767,0.08740271786388623,0.04232975958254416
S1A_95055013,0.7079187864432405,0.15450872040205615,0.14198120080253762
S1A_95833703,0.781654875658129,0.4002781155780879,0.17935113378921178
S1A_96550311,0.004398396588858591,0.8852044955850403,0.06709637847871702
S1A_99009761,0.921285881111036,0.7041225246656471,0.2941439567098728
S1A_99867645,0.8281253238926702,0.014383485118739273,0.5959441799634763
S1A_99869655,0.009526714328204131,0.2587883413831697,0.01524211616366498
S1A_100272312,0.6852928058336998,0.664954707223909,0.03756996336726784
S1A_104208322,0.651889609809707,0.3513619975007495,0.755304846232079
S1A_106217988,0.962444548569629,0.8331276410955583,0.7221658756213918
S1A_108912339,0.6333960007485046,0.058133744895848924,0.6363772892950106
S1A_108912343,0.6921012861575659,0.3403038945294916,0.2895423826885053
S1A_108912408,0.8021144721479896,0.6504046898169175,0.4540259949893415
