ID,Date,Time,ProductType,InstrumentID,CalibrationFile,SWVersion,SampleName,SampleComments,SampleError,SampleWeight,NumberOfParticles,WeightOf1000Particles,RiceType,RiceTypeCalculatedBy,LabLMedian,LabAMedian,LabBMedian,LabLMode,LabAMode,LabBMode,WKWeightPerc,BrokenWeightPerc,OutlierWeightPerc,ChalkyWeightPerc,LightChalkyWeightPerc,TotalChalkyWeightPerc,BlackWeightPerc,RedWeightPerc,YellowWeightPerc,GreenWeightPerc,OtherWeightPerc,LongRiceWeightPerc,MediumRiceWeightPerc,ShortRiceWeightPerc,WKNumber,BrokenKernelsNumber,OutlierNumber,ChalkyKernelsNumber,LightChalkyKernelsNumber,TotalChalkyKernelsNumber,BlackKernelsNumber,RedKernelsNumber,YellowKernelsNumber,GreenKernelsNumber,OtherKernelsNumber,LongRiceNumber,MediumRiceNumber,ShortRiceNumber,WKPerc,BrokenKernelsPerc,OutlierKernelsPerc,ChalkyKernelsPerc,LightChalkyKernelsPerc,TotalChalkyKernelsPerc,BlackKernelsPerc,RedKernelsPerc,YellowKernelsPerc,GreenKernelsPerc,OtherKernelsPerc,LongRiceKernelsPerc,MediumRiceKernelsPerc,ShortRiceKernelsPerc,SampleLengthAverage,SampleWidthAverage,SampleAreaAverage,SampleLWAverage,WKWidthAverage,WKLengthAverage,WKAreaAverage,WKLWAverage,SampleWidthMedian,SampleLengthMedian,SampleAreaMedian,WKWidthMedian,WKLengthMedian,WKAreaMedian,SampleWidthSTDEV,SampleLengthSTDEV,SampleAreaSTDEV,WKWidthSTDEV,WKLengthSTDEV,WKAreaSTDEV,BrokenThreshold,OutlierThresholdWidth,OutlierThresholdLength,OutlierThresholdArea,OutlierThresholdLW,BrokenDefinedAsFailPerc,ChalkyDefinedAsFailPerc,LightChalkyDefinedAsFailPerc,BlackDefinedAsFailPerc,RedDefinedAsFailPerc,YellowDefinedAsFailPerc,GreenDefinedAsFailPerc,OtherDefinedAsFailPerc,ChalkyLabMin,ChalkyLabMax,LightChalkyLabMin,LightChalkyLabMax,BlackLabMin,BlackLabMax,RedLabMin,RedLabMax,YellowLabMin,YellowLabMax,GreenLabMin,GreenLabMax,OtherColorLabMin,OtherColorLabMax,LongRiceUSDAMin,LongRiceUSDAMax,MediumRiceUSDAMin,MediumRiceUSDAMax,ShortRiceUSDAMin,ShortRiceUSDAMax,AverageWKChalkyPercentage,std_l,std_a,std_b,sampleAveragePerimeter
1,2022_7_6,19:6:59,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2023-161_29-1-2_Ap,,,9.500,252,38.808,Mixed,L/W,59.220,9.000,31.000,59.220,10.000,33.000,98.450,1.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.851,0.000,50.669,47.782,241,11,0,0,0,0,0,0,0,0,6,0,129,112,95.635,4.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.381,0.000,51.190,44.444,5.999,3.162,13.890,1.897,3.198,6.123,14.279,1.921,3.248,6.241,14.896,3.258,6.276,14.966,0.374,0.811,3.137,0.330,0.570,2.584,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.032,2.484,1.336,2.138,15.295
2,2022_7_6,19:11:49,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2023-49_29-1-3_Ap,,,6.700,239,35.787,Mixed,L/W,61.960,8.000,27.000,59.220,10.000,30.000,90.803,9.197,3.204,0.841,14.723,15.564,0.000,0.000,0.000,0.000,0.052,0.000,64.210,23.390,170,54,15,9,55,64,0,0,0,0,1,0,126,44,71.130,22.594,6.276,3.766,23.013,26.779,0.000,0.000,0.000,0.000,0.418,0.000,52.720,18.410,5.496,2.757,11.357,1.994,3.066,6.194,13.929,2.038,2.911,5.992,11.714,3.161,6.306,14.092,0.707,1.447,5.147,0.439,0.775,3.508,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.925,4.739,2.296,5.232,14.108
3,2022_7_6,19:15:36,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2023-127_29-1-4_Ap,,,8.000,239,37.291,Mixed,L/W,60.390,9.000,30.000,63.140,10.000,33.000,97.423,2.577,1.337,0.164,0.000,0.164,0.000,0.026,0.000,0.000,2.600,0.000,84.046,12.040,209,22,8,3,0,3,0,1,0,0,16,0,183,26,87.448,9.205,3.347,1.255,0.000,1.255,0.000,0.418,0.000,0.000,6.695,0.000,76.569,10.879,6.120,2.966,13.283,2.063,3.129,6.441,14.493,2.067,3.158,6.463,14.665,3.215,6.566,15.123,0.581,1.118,4.038,0.308,0.587,2.449,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.227,3.929,1.991,4.823,15.310
4,2022_7_6,19:19:29,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2023-38_29-2-1_Ap,,,13.300,342,41.686,Mixed,L/W,54.120,10.000,32.000,59.220,10.000,35.000,97.790,2.210,0.435,0.017,2.664,2.681,0.876,0.000,0.000,0.086,0.447,0.000,52.924,44.431,312,27,3,1,14,15,4,0,0,2,5,0,179,133,91.228,7.895,0.877,0.292,4.094,4.386,1.170,0.000,0.000,0.585,1.462,0.000,52.339,38.889,6.057,3.136,14.417,1.932,3.247,6.331,15.365,1.972,3.298,6.315,15.323,3.345,6.371,15.870,0.587,1.107,4.344,0.434,0.590,3.129,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.049,3.992,2.026,3.708,15.668
5,2022_7_6,19:21:32,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2023-130_29-2-2_Ap,,,7.700,284,33.406,Mixed,L/W,59.610,10.000,30.000,59.220,11.000,34.000,92.409,7.591,0.890,0.972,10.512,11.484,0.000,0.000,0.000,0.000,0.216,0.000,39.474,52.045,213,66,5,16,50,66,0,0,0,0,3,0,100,113,75.000,23.239,1.761,5.634,17.606,23.240,0.000,0.000,0.000,0.000,1.056,0.000,35.211,39.789,5.200,2.786,11.050,1.867,3.096,5.898,13.396,1.920,3.019,5.727,12.448,3.170,5.939,13.833,0.711,1.380,4.726,0.350,0.483,2.489,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.593,5.592,3.265,7.020,13.536
6,2022_7_6,19:22:34,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2023-151_29-2-3_Ap,,,7.200,280,29.982,Mixed,L/W,58.820,10.000,29.000,59.220,10.000,33.000,93.279,6.721,0.324,0.618,9.112,9.730,0.000,0.038,0.000,0.040,0.179,0.000,35.213,57.742,224,54,2,7,44,51,0,1,0,1,4,0,99,125,80.000,19.286,0.714,2.500,15.714,18.214,0.000,0.357,0.000,0.357,1.429,0.000,35.357,44.643,5.195,2.774,10.855,1.873,3.000,5.730,12.564,1.928,2.994,5.665,12.235,3.095,5.801,13.150,0.634,1.212,4.122,0.365,0.483,2.371,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.243,4.884,2.556,5.365,13.474
7,2022_7_6,19:24:1,GRAINS,147,WHEAT,  7.0.30 ,Kin22_ARGA051160-14LE31_29-2-4_Am,,,6.500,186,36.699,Mixed,L/W,58.820,10.000,30.000,59.220,10.000,33.000,97.677,2.323,0.000,0.163,4.898,5.061,0.000,0.000,0.000,0.000,0.000,0.000,17.548,80.128,173,13,0,2,12,14,0,0,0,0,0,0,36,137,93.011,6.989,0.000,1.075,6.452,7.527,0.000,0.000,0.000,0.000,0.000,0.000,19.355,73.656,5.609,3.164,13.304,1.773,3.230,5.816,13.949,1.808,3.253,5.812,14.314,3.338,5.873,14.556,0.441,0.936,3.500,0.357,0.556,2.643,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.194,3.864,1.972,4.047,14.670
8,2022_7_6,19:25:7,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2023-165_29-3-1_Ap,,,8.200,220,42.071,Mixed,L/W,60.780,8.000,29.000,59.610,8.000,30.000,96.456,3.544,0.170,0.302,3.605,3.907,0.000,0.000,0.000,0.022,0.793,0.000,80.167,16.119,188,31,1,6,15,21,0,0,0,1,7,0,156,32,85.455,14.091,0.455,2.727,6.818,9.545,0.000,0.000,0.000,0.455,3.182,0.000,70.909,14.545,5.968,3.039,13.818,1.964,3.234,6.508,15.478,2.020,3.233,6.553,15.519,3.271,6.609,15.969,0.613,1.464,4.701,0.286,0.530,2.372,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.122,3.974,2.344,5.253,15.241
9,2022_7_6,19:26:24,GRAINS,147,WHEAT,  7.0.30 ,Kin22_GA00190-7A14_29-3-2_Ap,,,7.500,227,36.085,Mixed,L/W,58.040,8.000,27.000,59.610,8.000,28.000,95.264,4.736,0.540,0.000,4.526,4.526,0.429,0.000,0.000,0.000,0.417,0.000,74.249,20.475,198,26,3,0,19,19,3,0,0,0,3,0,159,39,87.225,11.454,1.322,0.000,8.370,8.370,1.322,0.000,0.000,0.000,1.322,0.000,70.044,17.181,5.856,2.920,12.834,2.005,3.018,6.215,13.919,2.073,3.008,6.128,13.580,3.062,6.226,14.173,0.482,1.155,3.978,0.354,0.621,2.829,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.161,4.277,1.727,3.793,14.945
10,2022_7_6,19:27:39,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX2023-15_29-3-3_Ap,,,10.100,284,37.377,Mixed,L/W,58.040,9.000,30.000,59.220,10.000,33.000,98.437,1.563,0.556,0.000,1.806,1.806,0.000,0.000,0.000,0.000,0.243,0.000,73.644,24.237,266,14,4,0,11,11,0,0,0,0,2,0,203,63,93.662,4.930,1.408,0.000,3.873,3.873,0.000,0.000,0.000,0.000,0.704,0.000,71.479,22.183,6.026,3.057,13.705,1.971,3.129,6.191,14.284,1.985,3.187,6.200,14.601,3.213,6.242,14.803,0.420,0.853,3.138,0.283,0.525,2.234,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.044,3.834,1.563,3.118,15.356
