id,p_days_to_head
S1A_1158046,0.6456289408901827
S1A_1158055,0.0911033198471968
S1A_1159476,0.565132556901206
S1A_1232999,0.2806047937601439
S1A_1236236,0.05864242546096458
S1A_1238021,0.7607373498374816
S1A_1338362,0.49781588790949993
S1A_1588248,0.9283273230794427
S1A_1647528,0.488674783235331
S1A_1673828,0.8228523721034426
S1A_1686992,0.3410903237586348
S1A_1698908,0.6432984367629742
S1A_1722425,0.9378296263734088
S1A_1838929,0.9580706651333393
S1A_1838947,0.6046265629610194
S1A_1846791,0.31870225733272844
S1A_1846809,0.7651830021600716
S1A_1846831,0.9593981517359815
S1A_1989314,0.6515342238693355
S1A_2155191,0.5381658752972843
S1A_2390246,0.792110481576691
S1A_2926887,0.5515371048208813
S1A_2988801,0.9978269549819858
S1A_3381907,0.6381036092657328
S1A_3381967,0.0286860501275306
S1A_3452684,0.19604326214028067
S1A_3452749,0.4140854566854174
S1A_3516790,0.8558476224127506
S1A_3613321,0.3803004841998069
S1A_3613616,0.13993214212541727
S1A_3618173,0.34449389184212065
S1A_3657148,0.1268518436678047
S1A_3681123,0.47378719665808844
S1A_3702037,0.49213663457835877
S1A_3795226,0.5389961138587438
S1A_3943497,0.7710919800989386
S1A_4090235,0.9139359110512489
S1A_4213050,0.17758528501871707
S1A_4227065,0.7710919800989386
S1A_4363168,0.3521025622646172
S1A_4700791,0.11074414976997374
S1A_4700809,0.11021655939775574
S1A_5065601,0.38319869145349694
S1A_5149784,0.533975644420247
S1A_5172611,0.0712692492878487
S1A_5326457,0.38319869145349694
S1A_5491807,0.16339144798971456
S1A_5491846,0.5815634197239719
S1A_5565985,0.11861300407202882
S1A_6332991,0.11861300407202882
S1A_6345753,0.591475586574181
S1A_6370123,0.46719298422135636
S1A_6370149,0.4921108953201728
S1A_6370156,0.212988793047011
S1A_6370170,0.7559877681507023
S1A_6394543,0.3914607863251488
S1A_6405139,0.5912696887255204
S1A_6632531,0.9153712148910373
S1A_6669808,0.5909592434275767
S1A_6721112,0.011199452138799956
S1A_6765264,0.17939341164036673
S1A_6766358,0.3014312078971414
S1A_6766373,0.9626364299352451
S1A_6766388,0.2514242884316923
S1A_6770617,0.1747069294763418
S1A_6770618,0.16117181248134746
S1A_6776219,0.9121942396549556
S1A_6812534,0.49513160619561947
S1A_6870929,0.9638804645408091
S1A_7191475,0.25175714069183897
S1A_7214017,0.4806702889398209
S1A_7214024,0.3099051613144942
S1A_7233300,0.9876221997292625
S1A_7233302,0.820807516140357
S1A_7274964,0.9341252412660623
S1A_7277935,0.7302527335551705
S1A_7281143,0.3503867810497774
S1A_7658855,0.47831923748464367
S1A_8108580,0.41183897865011665
S1A_8137938,0.29467220372759995
S1A_8152172,0.40282203279655415
S1A_8174650,0.5322525334573489
S1A_8174678,0.5697108877006424
S1A_8295817,0.9548955119361484
S1A_8297293,0.1639095337810547
S1A_8320421,0.36106865953732015
S1A_8320460,0.3649942932629491
S1A_8401041,0.550546520944913
S1A_8434128,0.6377780192199489
S1A_8435419,0.5021386291534061
S1A_8500746,0.9034418904099455
S1A_8515990,0.46615131136358423
S1A_8516115,0.7950397988738329
S1A_8574911,0.7357281324278624
S1A_8574914,0.7886782054267962
S1A_8574966,0.5805222942896666
S1A_8575021,0.2494161644663234
S1A_8633498,0.6613716464177771
S1A_8668367,0.31855164251158324
S1A_8688915,0.26588160523000204
S1A_8688923,0.5126310073619733
S1A_8704379,0.29338756149733747
S1A_8717129,0.7265198505073334
S1A_8719018,0.21590980803904272
S1A_9104582,0.9084717575903329
S1A_9213998,0.175385551211499
S1A_9236441,0.5489369281516681
S1A_9236464,0.49371292862246663
S1A_9236474,0.7009735002605966
S1A_9236507,0.1444491108445283
S1A_9236518,0.9029690771202754
S1A_9236540,0.7808945806252898
S1A_9544932,0.4534024356468961
S1A_9558860,0.4360942903730711
S1A_9565863,0.541718287427089
S1A_9582910,0.9739610945077963
S1A_9600607,0.6238699202965228
S1A_9605976,0.66058689144161
S1A_9763236,0.472151848727546
S1A_9940119,0.7243200411901808
S1A_9954146,0.6430543817965038
S1A_9968711,0.4800154106346075
S1A_9971970,0.1493808892207221
S1A_9972042,0.37893955265389334
S1A_9972049,0.36412131014012195
S1A_9973220,0.4426943160663863
S1A_10122169,0.7375989954898013
S1A_10132752,0.7407045103318158
S1A_10151390,0.9976890038588511
S1A_10210891,0.3535118448985619
S1A_10214692,0.15073451498130053
S1A_10214731,0.5659506439581767
S1A_10223986,0.20907693468427174
S1A_10249458,0.6100295301672629
S1A_10406996,0.9957574743870754
S1A_10407007,0.34429005915483146
S1A_10423143,0.5828883225219172
S1A_10423167,0.398434318606677
S1A_10428084,0.22761475714637455
S1A_10483505,0.5662832431602962
S1A_10483518,0.34931383150755735
S1A_10605048,0.1999994988628204
S1A_10605061,0.48805228100575426
S1A_10607256,0.16834307923051187
S1A_10607278,0.4461258618388865
S1A_10714858,0.7143286895678981
S1A_10714875,0.7579271851108158
S1A_10844708,0.7288959054549958
S1A_11066887,0.15254947282652678
S1A_11160656,0.3889214966021055
S1A_11207629,0.7836714962991203
S1A_11207721,0.31659883534977323
S1A_11207781,0.2879765174479014
S1A_11208352,0.03558567193854476
S1A_11208433,0.04898710581385067
S1A_11718023,0.6431603045730911
S1A_12011526,0.2707013424325357
S1A_12092096,0.9430185031178426
S1A_12130329,0.10059623377066385
S1A_12172907,0.17086572844195844
S1A_12192364,0.5289642263775238
S1A_12219139,0.7098222193213066
S1A_12223694,0.7098222193213066
S1A_12375870,0.8335366554985266
S1A_12375898,0.6034590433599641
S1A_12568339,0.477274587147582
S1A_12587918,0.9275053585251007
S1A_12770438,0.44214580542998005
S1A_12770492,0.2773098470548931
S1A_12772631,0.8549649810215747
S1A_12822045,0.16193612256678708
S1A_12856045,0.6265926272085549
S1A_12919680,0.17088412978553286
S1A_13270454,0.39185090401014777
S1A_13350168,0.6801944456134598
S1A_13382820,0.4097261077589297
S1A_13417684,0.23032454093778826
S1A_13417699,0.39520625547302957
S1A_13456724,0.040382658774528735
S1A_13666679,0.8617366858656557
S1A_13666694,0.8096362987191008
S1A_13666702,0.44153576804353634
S1A_13667563,0.19588857318974837
S1A_13767805,0.16313827940877954
S1A_13767832,0.6193839914519548
S1A_13806217,0.7481062509930051
S1A_13861936,0.4186747856136389
