id,p_WeightOf1000Particles,p_SampleAreaAverage,p_WKAreaMedian,p_seeds_per_spikelet
S1A_1158055,0.9401083699844145,0.6125062924624891,0.8989700025243534,0.08103869708306267
S1A_1159476,0.902988893003084,0.5798206452210553,0.7826907957946703,0.04393897412775262
S1A_1232999,0.014347247898513122,0.07620066449600034,0.004504720355071294,0.8118204355699717
S1A_1338362,0.6412433746667006,0.4351857835902616,0.514612675769985,0.0200174490850578
S1A_1588248,0.9991914183056354,0.9967799741305982,0.8140870445427041,0.12983742508331278
S1A_1647528,0.20587856209099636,0.1916349955653315,0.04090510528999132,0.11770791946015975
S1A_1673828,0.08244251212004043,0.17935520709106398,0.06389863684629449,0.9236111177827042
S1A_1698908,0.037780883892653126,0.1235294544764404,0.026208172920072062,0.7942549673162066
S1A_1838929,0.08419912512321415,0.25434967347151227,0.051415300821872886,0.9728663438430079
S1A_1838947,0.04225411108997841,0.04843251602986698,0.027042384542661984,0.0018433583622535388
S1A_1846791,0.02323286148725292,0.023990330275446503,0.006107466721116674,0.006442474659531848
S1A_1846809,0.1797664617908556,0.3382251677444278,0.128612175103293,0.6976192158038026
S1A_1846831,0.8879464013236373,0.8796155169482494,0.8802616762208648,0.6040066923250188
S1A_1989314,0.8723243733033544,0.8549193118090082,0.6892960736832638,0.3524405043863008
S1A_2155191,0.8879464013236373,0.8796155169482494,0.8802616762208648,0.6040066923250188
S1A_2390246,0.2815246871573297,0.13464815261611857,0.17486288218423196,0.7424456170927033
S1A_2926887,0.041345259936158264,0.15963488432132583,0.012373855224162499,0.7495220538774949
S1A_2988801,0.19063088961909802,0.37747904547515243,0.16453608654435287,0.30637060090384827
S1A_3381967,0.16878814339213902,0.1518268816327765,0.09691641222488373,0.011785423999425807
S1A_3452684,0.9202345814800287,0.6332909434034735,0.7806884381788439,0.03782274333029946
S1A_3613321,0.09046588653015182,0.2287856218742666,0.0320025803825595,0.49733780848549247
S1A_3613616,0.8191870636407611,0.6108370303526555,0.7258531346162576,0.17392312761285836
S1A_3618173,0.8191870636407611,0.6108370303526555,0.7258531346162576,0.17392312761285836
S1A_3681123,0.023526546205723437,0.03361352404948934,0.005492816467279712,0.004110816679335911
S1A_3702037,0.023526546205723437,0.03361352404948934,0.005492816467279712,0.004110816679335911
S1A_3795226,0.15981606687024325,0.10964502604525268,0.18056106451615334,0.4785601860998933
S1A_3943497,0.8191870636407611,0.6108370303526555,0.7258531346162576,0.17392312761285836
S1A_4090235,0.4097864380662043,0.48893841808738137,0.35352228050946133,0.7884143044191259
S1A_4213050,0.18604894975529235,0.2752570504400906,0.09194914142341158,0.19498148252817066
S1A_4227065,0.8191870636407611,0.6108370303526555,0.7258531346162576,0.17392312761285836
S1A_4363168,0.9836492711249056,0.6960190479228436,0.8282090266571082,0.04058705536688796
S1A_5065601,0.9836492711249056,0.6960190479228436,0.8282090266571082,0.04058705536688796
S1A_5326457,0.9836492711249056,0.6960190479228436,0.8282090266571082,0.04058705536688796
S1A_5491807,0.014686020563155558,0.1103889948778799,0.004021580247677489,0.6309306355406668
S1A_5491846,0.16967562109789588,0.2530200877541616,0.16754727312347317,0.9643049515315487
S1A_6345753,0.48702506621205555,0.9895361640881285,0.23478085928730427,0.27454519269057825
S1A_6370123,0.10756883959972346,0.1535032377787568,0.14430795654237796,0.3008916494728327
S1A_6370149,0.9836492711249056,0.6960190479228436,0.8282090266571082,0.04058705536688796
S1A_6370156,0.08438101062394222,0.05749924593451349,0.0766574813246255,0.0021971395293583886
S1A_6370170,0.10756883959972346,0.1535032377787568,0.14430795654237796,0.3008916494728327
S1A_6405139,0.9202345814800287,0.6332909434034735,0.7806884381788439,0.03782274333029946
S1A_6632531,0.037780883892653126,0.1235294544764404,0.026208172920072062,0.7942549673162066
S1A_6669808,0.48702506621205555,0.9895361640881285,0.23478085928730427,0.27454519269057825
S1A_6721112,0.01146545073431768,0.10201797917517025,0.0035720787566202454,0.5380440051170179
S1A_6766358,0.9700111105929108,0.7117961447829914,0.8983881233967199,0.037978067406361386
S1A_6766373,0.0023135553298460425,0.009481138697088783,6.99488794802228e-4,0.0021006770366072806
S1A_6766388,0.19930012902611957,0.1727904709903396,0.04061932006220411,0.09756233499321383
S1A_6770617,0.05692493707813596,0.20123603555939404,0.03460081070057337,0.7710919148250681
S1A_6770618,0.05692493707813596,0.20123603555939404,0.03460081070057337,0.7710919148250681
S1A_6776219,0.40093042400259393,0.36432615796198464,0.551557884430077,0.38455111065840053
S1A_6812534,0.12399220435191258,0.1768108111769329,0.15955240214775265,0.30921406493200254
S1A_6870929,0.46000084625260995,0.3825349985213954,0.6216490094547569,0.3401215232535082
S1A_7191475,0.29969172928624715,0.19144853632239583,0.18775648733119105,0.02087485847819816
S1A_7214017,0.7103947381607105,0.5780739344735125,0.5189151880174776,0.23825982706199836
S1A_7214024,0.0940469829276067,0.05682803193270626,0.08898886920046155,0.0017463379090473638
S1A_7233300,0.8213608598582076,0.5233850819264406,0.8686671471704595,0.05331683837955695
S1A_7233302,0.7075319247165641,0.38046422118637613,0.9361489239590386,0.17550665824170134
S1A_7274964,0.7103947381607105,0.5780739344735125,0.5189151880174776,0.23825982706199836
S1A_7277935,0.12921415161578906,0.16092207682595033,0.1570688502889615,0.5209505836407102
S1A_7281143,0.8292450341878217,0.5361421645354765,0.6673324760520866,0.029871123747728677
S1A_8108580,0.9670222657113803,0.7126052188665817,0.9949948317264472,0.043501117127731505
S1A_8137938,0.016689891879514373,0.03123097030377503,0.006791728241791174,0.008694295124484303
S1A_8152172,0.9670222657113803,0.7126052188665817,0.9949948317264472,0.043501117127731505
S1A_8174678,0.051628162571299534,0.3130655114513283,0.026749204168295924,0.5136325006693684
S1A_8295817,0.0468869961406143,0.17421157575553325,0.025200864665375442,0.9601370707723506
S1A_8297293,0.021391542157133212,0.04903933925451956,0.015105800860533352,0.005713977094240247
S1A_8320421,0.8879464024848305,0.8796155173865516,0.8802616774253909,0.6040056232320645
S1A_8320460,0.04455473086720136,0.08435704143157864,0.02866958186865622,0.004679851320975985
S1A_8401041,0.7299296769675586,0.9226247769742546,0.9988708722498263,0.28273339242437495
S1A_8434128,0.49868063437530297,0.4332508613400424,0.4289127720031394,0.03201839095206784
S1A_8435419,0.016689891879514373,0.03123097030377503,0.006791728241791174,0.008694295124484303
S1A_8516115,0.7299296769675586,0.9226247769742546,0.9988708722498263,0.28273339242437495
S1A_8574911,0.9725683256543232,0.8201455213678367,0.8745903958747624,0.3192998614225239
S1A_8574966,0.9670222657113803,0.7126052188665817,0.9949948317264472,0.043501117127731505
S1A_8633498,0.04810458861331765,0.22075119396265663,0.031685943400270505,0.8988607612172901
S1A_8668367,0.016689891879514373,0.03123097030377503,0.006791728241791174,0.008694295124484303
S1A_8688915,0.3108826834522157,0.39226379134453293,0.23444562992879223,0.07610787200459129
S1A_8688923,0.41253037530053227,0.30842299946314794,0.1547031124595478,0.08777956157799953
S1A_8704379,0.016689891879514373,0.03123097030377503,0.006791728241791174,0.008694295124484303
S1A_8719018,0.033117995683077356,0.055546353104329656,0.01402263661229336,0.006108371673957048
S1A_9104582,0.050850746676670056,0.26537870164424,0.039986300201621666,0.7357713745750791
S1A_9213998,0.029972223423848057,0.056068247959497795,0.01231556972836644,0.005053313763348652
S1A_9236441,0.8879464024848305,0.8796155173865516,0.8802616774253909,0.6040056232320645
S1A_9236464,0.19945466327637953,0.4501590998360897,0.21289818719585887,0.9500677600575402
S1A_9236507,0.2143876706466888,0.4383819464978663,0.1738777615942611,0.6581682680941068
S1A_9236518,0.22259315625616208,0.43124406511251845,0.2234494521896824,0.9621610354140537
S1A_9558860,0.038688903333170085,0.07905656464233642,0.027305938390231165,0.004140051963430412
S1A_9565863,0.038688903333170085,0.07905656464233642,0.027305938390231165,0.004140051963430412
S1A_9582910,0.040128253198310364,0.23625174820525469,0.034340417542179626,0.8452391429815318
S1A_9763236,0.03739745360201083,0.06217953894322705,0.014907186393069675,0.005972549259752982
S1A_9940119,0.18044071342235676,0.19256617452119273,0.037090660115204684,0.24682274038690932
S1A_9954146,0.6751246047416102,0.6323685826162612,0.5984447685035974,0.1869518500702531
S1A_9968711,0.0632875724746173,0.2232362108598388,0.03166377210500626,0.678966878693865
S1A_9971970,0.76239466945859935,0.9047128425052471,0.7275000800233706,0.5508762452933197
S1A_9972042,0.036681001615962945,0.0751826322754506,0.024946734294153377,0.004726600351478003
S1A_9972049,0.4787031102404786,0.7687878033507921,0.8048997874532384,0.5269464246505633
S1A_9973220,0.8733042396229392,0.7895486994290113,0.9601173000994798,0.05150745032372195
S1A_10122169,0.03710369217472085,0.08753344286622465,0.026713011530769847,0.00371090726824856
S1A_10132752,0.8140854648566365,0.5760023232009353,0.5157108626577325,0.04127194653439051
S1A_10151390,0.5880506500675007,0.7522569728507316,0.7209971468241364,0.16966532868695475
S1A_10210891,0.4309583304828474,0.35346597234826005,0.3222792940223784,0.062095907626666814
S1A_10214692,0.7170953559892288,0.6480750664405143,0.6572845461264567,0.0872222267360393
S1A_10214731,0.04772508132515213,0.28017463318171837,0.040639288210974046,0.9342609394772082
S1A_10223986,0.4680619850519022,0.9317141959066878,0.8725290335372777,0.1454605888028941
S1A_10249458,0.04613928249466024,0.2523708773145636,0.029915560863438367,0.865926960463743
S1A_10406996,0.32804663139129775,0.29586113910638445,0.3443012125197227,0.0841026393594574
S1A_10407007,0.21929598404634842,0.2447674871611107,0.05722086160199692,0.18032970009719806
S1A_10423143,0.03100469935943266,0.2100468214795694,0.02052919138400634,0.8580143932323262
S1A_10423167,0.6846199937015994,0.6960416234032609,0.6969895032679276,0.04940577933806402
S1A_10428084,0.4680619850519022,0.9317141959066878,0.8725290335372777,0.1454605888028941
S1A_10483505,0.05681746441620631,0.22018788172576997,0.09212103390431704,0.574095500185459
S1A_10483518,0.02821941743991276,0.11613831567290268,0.019765766470176423,0.9115703721040631
S1A_10605061,0.6846199935183723,0.6960416233939358,0.6969895033245275,0.049405779380441425
S1A_10607256,0.5121866220745956,0.3802259327578881,0.30049232224944816,0.034382692400006735
S1A_10607278,0.025815929331735574,0.18013489265764823,0.02110949601272271,0.9992359072829351
S1A_10714858,0.02681389233990626,0.1879441367829294,0.025473243859631057,0.852712511539339
S1A_10714875,0.5880506500675007,0.7522569728507316,0.7209971468241364,0.16966532868695475
S1A_10844708,0.013369430572173987,0.09837355654706538,0.006043625057699883,0.941324212953284
S1A_11066887,0.32804663139129775,0.29586113910638445,0.3443012125197227,0.0841026393594574
S1A_11160656,0.02583244745709659,0.023217800833318303,0.004705227012228755,0.015486003835706764
S1A_11207629,0.5880506500675007,0.7522569728507316,0.7209971468241364,0.16966532868695475
S1A_11207721,0.11077300677309852,0.12222007057133799,0.01959003449910553,0.25048481190580796
S1A_11207781,0.01083099743397834,0.08386308941002643,0.005012465808089129,0.7276942913781448
