ID,Date,Time,ProductType,InstrumentID,CalibrationFile,SWVersion,SampleName,SampleComments,SampleError,SampleWeight,NumberOfParticles,WeightOf1000Particles,RiceType,RiceTypeCalculatedBy,LabLMedian,LabAMedian,LabBMedian,LabLMode,LabAMode,LabBMode,WKWeightPerc,BrokenWeightPerc,OutlierWeightPerc,ChalkyWeightPerc,LightChalkyWeightPerc,TotalChalkyWeightPerc,BlackWeightPerc,RedWeightPerc,YellowWeightPerc,GreenWeightPerc,OtherWeightPerc,LongRiceWeightPerc,MediumRiceWeightPerc,ShortRiceWeightPerc,WKNumber,BrokenKernelsNumber,OutlierNumber,ChalkyKernelsNumber,LightChalkyKernelsNumber,TotalChalkyKernelsNumber,BlackKernelsNumber,RedKernelsNumber,YellowKernelsNumber,GreenKernelsNumber,OtherKernelsNumber,LongRiceNumber,MediumRiceNumber,ShortRiceNumber,WKPerc,BrokenKernelsPerc,OutlierKernelsPerc,ChalkyKernelsPerc,LightChalkyKernelsPerc,TotalChalkyKernelsPerc,BlackKernelsPerc,RedKernelsPerc,YellowKernelsPerc,GreenKernelsPerc,OtherKernelsPerc,LongRiceKernelsPerc,MediumRiceKernelsPerc,ShortRiceKernelsPerc,SampleLengthAverage,SampleWidthAverage,SampleAreaAverage,SampleLWAverage,WKWidthAverage,WKLengthAverage,WKAreaAverage,WKLWAverage,SampleWidthMedian,SampleLengthMedian,SampleAreaMedian,WKWidthMedian,WKLengthMedian,WKAreaMedian,SampleWidthSTDEV,SampleLengthSTDEV,SampleAreaSTDEV,WKWidthSTDEV,WKLengthSTDEV,WKAreaSTDEV,BrokenThreshold,OutlierThresholdWidth,OutlierThresholdLength,OutlierThresholdArea,OutlierThresholdLW,BrokenDefinedAsFailPerc,ChalkyDefinedAsFailPerc,LightChalkyDefinedAsFailPerc,BlackDefinedAsFailPerc,RedDefinedAsFailPerc,YellowDefinedAsFailPerc,GreenDefinedAsFailPerc,OtherDefinedAsFailPerc,ChalkyLabMin,ChalkyLabMax,LightChalkyLabMin,LightChalkyLabMax,BlackLabMin,BlackLabMax,RedLabMin,RedLabMax,YellowLabMin,YellowLabMax,GreenLabMin,GreenLabMax,OtherColorLabMin,OtherColorLabMax,LongRiceUSDAMin,LongRiceUSDAMax,MediumRiceUSDAMin,MediumRiceUSDAMax,ShortRiceUSDAMin,ShortRiceUSDAMax,AverageWKChalkyPercentage,std_l,std_a,std_b,sampleAveragePerimeter
1,2022_7_5,18:51:34,GRAINS,147,WHEAT,  7.0.30 ,Kin22_LA09264C-P2_14-6-2_Ap,,,6.600,172,47.731,Mixed,L/W,59.610,7.000,24.000,59.610,6.000,24.000,95.462,4.538,0.225,0.000,0.000,0.000,5.269,0.000,0.000,0.329,4.799,0.000,79.064,16.172,132,36,4,0,0,0,12,0,0,7,19,0,109,23,76.744,20.930,2.326,0.000,0.000,0.000,6.977,0.000,0.000,4.070,11.047,0.000,63.372,13.372,5.977,2.938,13.702,2.035,3.385,6.809,17.011,2.024,3.401,6.772,16.940,3.484,6.982,18.058,0.958,2.054,6.877,0.396,0.755,3.569,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.469,5.628,2.006,4.210,15.289
2,2022_7_5,18:54:22,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX1993-52_14-6-3_Ap,,,8.800,343,31.125,Mixed,L/W,54.120,9.000,30.000,47.060,10.000,32.000,93.729,6.271,1.237,0.374,3.152,3.526,10.748,0.000,0.000,0.180,0.788,0.000,22.199,70.293,265,68,10,6,22,28,38,0,0,5,10,0,76,189,77.259,19.825,2.915,1.749,6.414,8.163,11.079,0.000,0.000,1.458,2.915,0.000,22.157,55.102,4.995,2.688,10.278,1.858,3.007,5.576,12.291,1.871,2.968,5.425,11.389,3.094,5.673,12.706,0.738,1.294,4.517,0.397,0.554,2.716,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.194,6.278,2.872,5.247,13.010
3,2022_7_5,18:57:5,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX1993-3_14-6-4_Ap,,,10.600,319,35.907,Mixed,L/W,58.040,10.000,32.000,59.220,10.000,35.000,98.574,1.426,1.474,0.000,0.619,0.619,0.325,0.000,0.000,0.035,0.104,0.000,61.422,35.677,291,16,12,0,3,3,5,0,0,2,1,0,196,95,91.223,5.016,3.762,0.000,0.940,0.940,1.567,0.000,0.000,0.627,0.313,0.000,61.442,29.781,5.924,2.950,13.034,2.008,3.071,6.088,13.789,2.005,3.155,6.185,14.462,3.214,6.237,14.807,0.597,0.917,3.838,0.435,0.596,2.961,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.000,4.289,1.960,3.370,14.988
4,2022_7_5,18:58:49,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX1993-172_14-7-1_Ap,,,10.600,257,41.949,Mixed,L/W,60.390,9.000,29.000,59.220,8.000,30.000,99.728,0.272,0.100,0.000,0.144,0.144,0.155,0.000,0.000,0.053,0.132,0.000,21.907,77.722,252,4,1,0,1,1,1,0,0,2,2,0,60,192,98.054,1.556,0.389,0.000,0.389,0.389,0.389,0.000,0.000,0.778,0.778,0.000,23.346,74.708,6.127,3.338,15.170,1.835,3.377,6.194,15.414,1.841,3.476,6.283,16.243,3.481,6.302,16.272,0.483,0.814,3.607,0.393,0.638,3.178,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.043,3.629,1.881,3.024,15.794
5,2022_7_5,19:0:28,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX1993-40_14-7-2_Ap,,,9.500,279,35.187,Mixed,L/W,55.690,10.000,32.000,59.220,10.000,35.000,99.264,0.736,0.133,0.000,0.252,0.252,2.268,0.000,0.000,0.066,0.043,0.000,16.365,82.766,268,10,1,0,2,2,6,0,0,3,2,0,72,196,96.057,3.584,0.358,0.000,0.717,0.717,2.151,0.000,0.000,1.075,0.717,0.000,25.806,70.251,5.666,3.059,12.827,1.852,3.129,5.768,13.211,1.869,3.248,5.815,13.657,3.274,5.828,13.781,0.575,0.782,3.367,0.451,0.533,2.767,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.019,4.264,2.145,3.368,14.612
6,2022_7_5,19:3:11,GRAINS,147,WHEAT,  7.0.30 ,Kin22_GA06493-13LE6_14-7-3_Ap,,,12.400,313,41.718,Mixed,L/W,59.610,8.000,29.000,59.610,8.000,30.000,98.577,1.423,0.030,0.000,1.671,1.671,1.246,0.000,0.000,0.048,0.149,0.000,66.292,32.255,293,19,1,0,7,7,8,0,0,2,3,0,200,93,93.610,6.070,0.319,0.000,2.236,2.236,2.556,0.000,0.000,0.639,0.958,0.000,63.898,29.712,6.212,3.141,14.724,1.977,3.248,6.435,15.488,1.996,3.312,6.509,15.894,3.341,6.541,16.040,0.583,1.062,4.099,0.378,0.585,2.894,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.075,5.105,1.910,3.537,15.766
7,2022_7_5,19:4:56,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX1993-42_14-7-4_Ap,,,14.000,369,41.929,Mixed,L/W,56.860,9.000,29.000,59.610,8.000,30.000,96.736,3.264,0.265,0.101,3.250,3.351,4.562,0.000,0.000,0.018,0.069,0.000,10.857,85.613,323,42,4,3,23,26,19,0,0,1,2,0,46,277,87.534,11.382,1.084,0.813,6.233,7.046,5.149,0.000,0.000,0.271,0.542,0.000,12.466,75.068,5.704,3.275,14.195,1.742,3.472,6.082,15.630,1.767,3.478,6.085,15.500,3.566,6.188,16.226,0.743,1.229,5.077,0.476,0.654,3.469,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.198,5.708,2.281,4.249,15.071
8,2022_7_5,19:6:33,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX1993-34_14-8-1_Ap,,,9.200,318,29.759,Mixed,L/W,53.730,9.000,30.000,47.060,9.000,32.000,98.980,1.020,0.000,0.000,2.694,2.694,2.723,0.000,0.000,0.000,0.027,0.000,46.613,52.367,306,12,0,0,13,13,9,0,0,0,1,0,166,140,96.226,3.774,0.000,0.000,4.088,4.088,2.830,0.000,0.000,0.000,0.314,0.000,52.201,44.025,5.561,2.841,11.785,1.957,2.895,5.669,12.128,1.982,2.948,5.746,12.291,2.963,5.760,12.401,0.483,0.779,3.034,0.393,0.513,2.506,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.025,3.909,1.933,3.387,14.224
9,2022_7_5,19:8:24,GRAINS,147,WHEAT,  7.0.30 ,Kin22_GA00190-7A14_14-8-2_Ap,,,9.700,304,40.965,Mixed,L/W,58.820,8.000,27.000,59.610,8.000,28.000,90.377,9.623,0.815,0.128,6.769,6.897,0.078,0.000,0.000,0.221,0.806,0.000,71.574,17.988,214,83,7,2,41,43,1,0,0,8,11,0,168,46,70.395,27.303,2.303,0.658,13.487,14.145,0.329,0.000,0.000,2.632,3.618,0.000,55.263,15.132,5.486,2.867,12.265,1.913,3.214,6.465,15.535,2.020,3.077,6.185,13.684,3.278,6.632,16.255,0.770,1.873,6.017,0.387,0.807,3.455,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.130,5.012,2.643,5.504,14.292
10,2022_7_5,19:10:9,GRAINS,147,WHEAT,  7.0.30 ,Kin22_UX1993-32_14-8-3_Ap,,,9.600,326,34.038,Mixed,L/W,54.900,10.000,30.000,47.060,10.000,33.000,94.314,5.686,0.374,0.158,3.126,3.284,4.019,0.000,0.000,0.068,0.899,0.000,22.324,71.616,266,56,4,2,20,22,18,0,0,3,10,0,88,178,81.595,17.178,1.227,0.613,6.135,6.748,5.521,0.000,0.000,0.920,3.067,0.000,26.994,54.601,5.367,2.902,11.795,1.849,3.139,5.820,13.522,1.882,3.089,5.762,12.723,3.250,5.913,14.009,0.714,1.245,4.614,0.459,0.510,2.940,4.264,4.591,8.210,24.450,2.892,70,25,0,15,30,30,10,10,75,100,75,100,0,35,0,60,60,97,97,165,0,0,3.000,8.000,1.900,3.000,1.000,1.900,0.049,6.184,2.649,5.102,14.041
