id,p
S1A_804651,3.918540007185682e-9
S1A_1158055,3.417054385379497e-5
S1A_3452684,2.1601225976045587e-6
S1A_4213050,0.06698825787307426
S1A_4213105,0.13925839818817007
S1A_5326533,1.0064669616797987e-5
S1A_6370123,0.0023601111958379078
S1A_6370149,3.176252547426464e-5
S1A_6370156,1.0525825023134886e-5
S1A_6370170,9.81454598088843e-8
S1A_6409907,0.0103641617932532
S1A_7281143,1.9399480582832344e-5
S1A_8108580,1.9399480582832344e-5
S1A_8516050,4.695950812664149e-11
S1A_8633470,0.2417044037717272
S1A_8633498,3.697282754572181e-5
S1A_9236441,1.1290117318422279e-5
S1A_9236464,0.02169656000064232
S1A_9236507,3.5717746970866905e-5
S1A_9236552,5.1066768624179765e-8
S1A_9582910,3.9745811810681627e-4
S1A_9940119,1.0451270824775075e-5
S1A_10135807,5.524866033373848e-4
S1A_10159602,0.49636816741715484
S1A_11208352,5.349502956223786e-6
S1A_11208354,8.670641668942341e-5
S1A_11718023,0.4188416074951582
S1A_12142757,3.482493090969999e-4
S1A_14233808,0.24170440377173258
S1A_14520423,1.2717863915229097e-9
S1A_14520449,2.645287029201394e-9
S1A_14577882,0.2417044037717531
S1A_15375184,4.517177788432093e-7
S1A_15955019,2.5613362775729184e-10
S1A_15955072,2.1718877541565035e-8
S1A_16388833,2.459774699058365e-6
S1A_20028685,9.994865737675167e-11
S1A_20158773,0.7514340911401346
S1A_20889093,4.274069676395682e-10
S1A_21143362,0.1159338244805405
S1A_21416535,0.1159338244805405
S1A_21674684,0.011974810637381282
S1A_22331274,0.3235438028508417
S1A_22535000,9.670539530398611e-13
S1A_22588741,4.757895981428674e-9
S1A_24428063,0.9473643344472735
S1A_24428104,0.1446813744581464
S1A_24561914,1.0427623396096228e-9
S1A_24826522,0.6790289632317033
S1A_25289557,1.48383365245747e-10
S1A_25545534,1.0355953387581643e-10
S1A_25725731,0.7322093477406144
S1A_26598441,0.7306981725248318
S1A_26961879,5.061141682762691e-11
S1A_27209346,0.050583264070478785
S1A_28610421,1.4812625638871765e-10
S1A_29796503,4.3484933073336576e-13
S1A_30118988,0.025047325064350864
S1A_33618583,0.8308076108917707
S1A_33893501,3.288593676964497e-11
S1A_34878333,0.9345497033172644
S1A_36562581,0.9345497033172646
S1A_36605423,3.4065845536359063e-10
S1A_36824553,3.0976118947592565e-7
S1A_38715697,0.0505832640704692
S1A_39183475,3.4357332117531085e-9
S1A_39183500,9.148787532871311e-10
S1A_39269046,0.6954712183440998
S1A_39409264,1.2203486706397137e-10
S1A_39409291,0.2541449493102313
S1A_39409365,0.6487878178056119
S1A_41393391,2.703912749321287e-7
S1A_41743658,8.044077060097354e-9
S1A_41901220,1.331893431458738e-10
S1A_41922824,0.09034024867343851
S1A_45592345,7.369710091390671e-6
S1A_47824957,2.4161359602148172e-11
S1A_49271577,1.5263072834643196e-5
S1A_49361479,2.991372178431662e-11
S1A_52440302,0.1159338244805405
S1A_52440317,8.267700037484627e-16
S1A_54077585,0.1159338244805405
S1A_54856729,0.09742461461870897
S1A_57204953,0.1159338244805405
S1A_57399833,1.377096253570417e-10
S1A_58020065,0.1159338244805405
S1A_58370156,1.6972679577159284e-9
S1A_58713697,7.534713490489754e-11
S1A_58840457,3.431351627052513e-11
